PIN,Angle between B and C,Angle between B and E,Angle between B and F,Angle between C and E,Angle between C and F,Angle between the projections of B and C on the z=0 plane,Angle between the projections of B and F on the z=0 plane,Angle between the projections of C and E on the z=0 plane,Angle of B strand vector to x axis,Angle of B strand vector to y axis,Angle of B strand vector to z axis,Angle of C strand vector to x axis,Angle of C strand vector to y axis,Angle of C strand vector to z axis,Angle of E strand vector to x axis,Angle of E strand vector to y axis,Angle of E strand vector to z axis,Angle of F strand vector to x axis,Angle of F strand vector to y axis,Angle of F strand vector to z axis,Distance of Center of Mass of B from plane,Distance of Center of Mass of C from plane,Distance of Center of Mass of E from plane,Distance of Center of Mass of F from plane
7BEL_A_2_to_120,2.16213021592974,2.7871633349697684,0.5744864332345146,0.7693257280727274,2.649984662814172,2.265786172702917,0.5736651119557594,0.7888687412525781,-0.0337477515051416,1.4249341421323058,-0.1418500457479523,-0.0337477515051416,1.4249341421323058,-0.1418500457479523,0.1185586437475494,-1.3358504210402935,-0.2018700220725153,-0.6059702507583262,0.9593588224837456,-0.0716810675376682,1.115340552154968,1.8667094026941091,2.2926274010330947,0.8740924755342739
4OV5_A_85_to_179,2.6577869259175495,2.864128462699614,0.3431181563811107,0.3228076274911667,2.9060772152881404,2.8234659381978933,0.3181989014151115,0.3159481094711059,-0.0602537956160498,1.4223340648697735,-0.1355197807764507,-0.0602537956160498,1.4223340648697735,-0.1355197807764507,0.0623563908612974,-1.4155966572893872,-0.1419359119738115,-0.3790066383192303,1.1917582167277947,-0.0046515668047979,1.1660326255738214,1.096876128008634,5.922040948103112,2.69910530290452
3CQQ_A_2_to_152,2.1846843609490576,2.9111929152711364,0.8414628716763362,0.7925684368215966,2.6798775736827403,2.244168519973061,0.8505357452301743,0.7885973225948226,0.117948317379718,1.392507245915111,-0.1330732413011708,0.117948317379718,1.392507245915111,-0.1330732413011708,-0.0101535596982442,-1.499928301858895,-0.0701344659807809,-0.7047803256999541,0.806275719108443,-0.2461955729909155,1.3759222861393283,0.7993935385431676,2.655895305062057,0.7932824776161697
6A9O_A_2_to_152,2.182083438972179,2.9164260737330534,0.8510985982271704,0.7945497695715293,2.6861545579587283,2.245122905602014,0.8621842116116589,0.7870149233893136,0.2346817788171205,1.2961286626402964,-0.1400724116517384,0.2346817788171205,1.2961286626402964,-0.1400724116517384,-0.1273851663358798,-1.431173877428531,-0.0568521040518521,-0.6049390009516835,0.9075943736600268,-0.2380017851779741,1.674387647185674,0.2886083490190591,3.069686041334807,0.23550802656354
2V9Q_A_172_to_260,2.292843539802816,2.68916108535392,0.5761336938854792,0.4007000607724014,2.6754549549961704,2.4200080249584115,0.5907441624770718,0.3638691546420489,0.2280032768304909,1.247680342555799,-0.2248928757787398,0.2280032768304909,1.247680342555799,-0.2248928757787398,0.1235237020349968,-1.43533881090132,-0.0553104545773721,-0.3481287941599047,1.15637026976649,-0.2155883089927093,1.9762427195776937,0.4606216291823879,1.034627652992837,1.207739149467003
3QH3_A_2_to_110,2.2564523407227486,2.852441171833344,0.4317134517699008,0.7864553901047755,2.6439668372674054,2.4199461941109575,0.4123202030793594,0.7733840879742889,-0.0755636015745346,1.3900450091138152,-0.1638821759452666,-0.0755636015745346,1.3900450091138152,-0.1638821759452666,0.0246734988653196,-1.4476378501802705,-0.1206369770465403,-0.4886903765281567,1.081101762467366,-0.0288669732774533,0.580733792220299,1.6360564581982888,2.635131825614216,1.7972119522179464
2GY5_A_347_to_442,2.478581529839229,2.7196064052592175,0.3470015308898355,0.8078233138407106,2.748732857837427,2.561919683100026,0.3479026773892139,0.8351422313366135,-0.5332176704518483,1.0294876181961283,-0.0844501878360852,-0.5332176704518483,1.0294876181961283,-0.0844501878360852,0.2707201330000643,-1.1957410049450017,-0.2530454730090898,-0.8799966507492503,0.685378718356168,-0.072993484474084,0.3013883777970809,2.6285511289977532,1.3303468788182793,1.0428825004893467
8XJO_E_2_to_119,2.2369459105963045,2.841131308232006,0.6619809137193416,0.7485579859787627,2.7508256331535303,2.334392430867138,0.6652993480452074,0.7541855394586151,-0.130181238120187,-1.3650583493590434,-0.1584038577727899,-0.130181238120187,-1.3650583493590434,-0.1584038577727899,0.0780824199721974,1.4125326945355754,-0.1373786640603824,0.5304901470081436,-1.028881765329853,-0.1003403665630227,6.2132652624825395,1.5231652566636091,0.9711285883865252,1.1839097557556189
1IFR_A_432_to_544,2.3876011337764087,2.8177998238288136,0.822113058634331,0.9443379390687754,2.8686696160758496,2.408399967003797,0.8222758556249766,0.9558873623396064,0.0385904553922091,1.5068148447340166,-0.0510080261441587,0.0385904553922091,1.5068148447340166,-0.0510080261441587,-0.2567739245639626,-1.25182836922958,-0.1850106111356404,-0.7757138689491181,0.7791843424849401,-0.1264211749355208,0.7141721017623208,2.57578945738928,4.486669869949954,0.933635132803313
2VR6_A_1_to_152,2.165794636541791,2.8925106401461473,0.840897782674076,0.8000956662267931,2.67683217018279,2.2281859428203576,0.8525701372921405,0.7975857079001912,1.3532776487727456,0.1602493622117571,-0.1458160767879568,1.3532776487727456,0.1602493622117571,-0.1458160767879568,-1.2833339524579102,-0.2770056821430631,-0.074862136326113,0.537178324835313,0.9667621834248434,-0.2490121454129084,1.845245674105409,3.931181929471387,4.914313164200794,4.346681983637054
